dataset,metric,model,value
ett_small_1h,scaled_crps,SeasonalNaive,0.15305326839468023
ett_small_1h,scaled_crps,StatisticalEnsemble,0.10893023778108452
ett_small_1h,smape,SeasonalNaive,0.10259586641393585
ett_small_1h,smape,StatisticalEnsemble,0.1171297505877785
ett_small_1h,time,SeasonalNaive,0.2092659473419189
ett_small_1h,time,StatisticalEnsemble,332.1302688121796
exchange_rate,mase,SeasonalNaive,1.5238482740215735
exchange_rate,mase,StatisticalEnsemble,1.4067630220218135
exchange_rate,scaled_crps,SeasonalNaive,0.01577147847394285
exchange_rate,scaled_crps,StatisticalEnsemble,0.007234723993796653
exchange_rate,smape,SeasonalNaive,0.004661980297476255
exchange_rate,smape,StatisticalEnsemble,0.0044398183280252015
exchange_rate,time,SeasonalNaive,0.0944149494171142
exchange_rate,time,StatisticalEnsemble,9.35352873802185
fred_md,mase,SeasonalNaive,1.1008000208784752
fred_md,mase,StatisticalEnsemble,0.4818602144932258
fred_md,scaled_crps,SeasonalNaive,0.08215697114580049
fred_md,scaled_crps,StatisticalEnsemble,0.03272829800542708
fred_md,smape,SeasonalNaive,0.0729485559677336
fred_md,smape,StatisticalEnsemble,0.05220994480946772
fred_md,time,SeasonalNaive,0.8469631671905518
fred_md,time,StatisticalEnsemble,49.06454372406006
hospital,mase,SeasonalNaive,0.9205278258071787
hospital,mase,StatisticalEnsemble,0.7485655129982478
hospital,scaled_crps,SeasonalNaive,0.08269508339071587
hospital,scaled_crps,StatisticalEnsemble,0.046899209602966556
hospital,smape,SeasonalNaive,0.10512677152235944
hospital,smape,StatisticalEnsemble,0.0859826808296096
hospital,time,SeasonalNaive,0.8399276733398438
hospital,time,StatisticalEnsemble,30.61531782150269
m1_yearly,mase,SeasonalNaive,4.894322198189649
m1_yearly,mase,StatisticalEnsemble,3.574145484272531
m1_yearly,scaled_crps,SeasonalNaive,0.14966361102972647
m1_yearly,scaled_crps,StatisticalEnsemble,0.0922698712661802
m1_yearly,smape,SeasonalNaive,0.11216119472992997
m1_yearly,smape,StatisticalEnsemble,0.08812465232291931
m1_yearly,time,SeasonalNaive,0.7850766181945801
m1_yearly,time,StatisticalEnsemble,5.73260760307312
m1_quarterly,mase,SeasonalNaive,2.0775365099320915
m1_quarterly,mase,StatisticalEnsemble,1.5939583404585844
m1_quarterly,scaled_crps,SeasonalNaive,0.14308704311173895
m1_quarterly,scaled_crps,StatisticalEnsemble,0.06983964327851233
m1_quarterly,smape,SeasonalNaive,0.0947186951123695
m1_quarterly,smape,StatisticalEnsemble,0.07840308519164578
m1_quarterly,time,SeasonalNaive,0.7976851463317871
m1_quarterly,time,StatisticalEnsemble,7.182486057281494
m1_monthly,mase,SeasonalNaive,1.3144614942308708
m1_monthly,mase,StatisticalEnsemble,1.0339353928765094
m1_monthly,scaled_crps,SeasonalNaive,0.1929014674058537
m1_monthly,scaled_crps,StatisticalEnsemble,0.12133830358487802
m1_monthly,smape,SeasonalNaive,0.08654688593844032
m1_monthly,smape,StatisticalEnsemble,0.0730905532066498
m1_monthly,time,SeasonalNaive,0.8262171745300293
m1_monthly,time,StatisticalEnsemble,27.710077047348022
m3_yearly,mase,SeasonalNaive,3.1717102343239496
m3_yearly,mase,StatisticalEnsemble,2.7060074099502085
m3_yearly,scaled_crps,SeasonalNaive,0.15694102939190013
m3_yearly,scaled_crps,StatisticalEnsemble,0.10307027528088823
m3_yearly,smape,SeasonalNaive,0.08939945244930989
m3_yearly,smape,StatisticalEnsemble,0.07999691218033288
m3_yearly,time,SeasonalNaive,0.8121771812438965
m3_yearly,time,StatisticalEnsemble,8.576204299926758
m3_quarterly,mase,SeasonalNaive,1.425343782675886
m3_quarterly,mase,StatisticalEnsemble,1.16376103880926
m3_quarterly,scaled_crps,SeasonalNaive,0.09558308169170797
m3_quarterly,scaled_crps,StatisticalEnsemble,0.05341428588839114
m3_quarterly,smape,SeasonalNaive,0.05532565657960303
m3_quarterly,smape,StatisticalEnsemble,0.04614976537182415
m3_quarterly,time,SeasonalNaive,0.8202786445617676
m3_quarterly,time,StatisticalEnsemble,12.746824741363524
m3_monthly,mase,SeasonalNaive,1.1462045740727513
m3_monthly,mase,StatisticalEnsemble,0.8267793470895428
m3_monthly,scaled_crps,SeasonalNaive,0.1657581291619502
m3_monthly,scaled_crps,StatisticalEnsemble,0.07762084692788024
m3_monthly,smape,SeasonalNaive,0.0861955076505472
m3_monthly,smape,StatisticalEnsemble,0.06722927141202216
m3_monthly,time,SeasonalNaive,0.9021949768066406
m3_monthly,time,StatisticalEnsemble,69.00676345825195
m3_other,mase,SeasonalNaive,1.4741669727228415
m3_other,mase,StatisticalEnsemble,0.7270561697641876
m3_other,scaled_crps,SeasonalNaive,0.06994385450714162
m3_other,scaled_crps,StatisticalEnsemble,0.026865030394171055
m3_other,smape,SeasonalNaive,0.041276500014025615
m3_other,smape,StatisticalEnsemble,0.021632279162270698
m3_other,time,SeasonalNaive,0.7998371124267578
m3_other,time,StatisticalEnsemble,7.380923748016357
tourism_yearly,mase,SeasonalNaive,3.552009714599977
tourism_yearly,mase,StatisticalEnsemble,3.277077062185471
tourism_yearly,scaled_crps,SeasonalNaive,0.15974723271821942
tourism_yearly,scaled_crps,StatisticalEnsemble,0.11125194688603007
tourism_yearly,smape,SeasonalNaive,0.21083326227292737
tourism_yearly,smape,StatisticalEnsemble,0.18384696850918383
tourism_yearly,time,SeasonalNaive,0.8069603443145752
tourism_yearly,time,StatisticalEnsemble,7.067137002944946
tourism_quarterly,mase,SeasonalNaive,1.6989892602245846
tourism_quarterly,mase,StatisticalEnsemble,1.5058255429273564
tourism_quarterly,scaled_crps,SeasonalNaive,0.10142968168460322
tourism_quarterly,scaled_crps,StatisticalEnsemble,0.0576224860295668
tourism_quarterly,smape,SeasonalNaive,0.08304859164472883
tourism_quarterly,smape,StatisticalEnsemble,0.07237160342871483
tourism_quarterly,time,SeasonalNaive,0.8143134117126465
tourism_quarterly,time,StatisticalEnsemble,16.84568691253662
tourism_monthly,mase,SeasonalNaive,1.6309399914977092
tourism_monthly,mase,StatisticalEnsemble,1.4409102971283867
tourism_monthly,scaled_crps,SeasonalNaive,0.11447973197962824
tourism_monthly,scaled_crps,StatisticalEnsemble,0.07190242570828337
tourism_monthly,smape,SeasonalNaive,0.10834946268820275
tourism_monthly,smape,StatisticalEnsemble,0.0915893066611628
tourism_monthly,time,SeasonalNaive,0.864677906036377
tourism_monthly,time,StatisticalEnsemble,151.14043617248535
m4_yearly,mase,SeasonalNaive,3.965954942439523
m4_yearly,mase,StatisticalEnsemble,3.002568369690919
m4_yearly,scaled_crps,SeasonalNaive,0.13235538778860942
m4_yearly,scaled_crps,StatisticalEnsemble,0.08139201567816129
m4_yearly,smape,SeasonalNaive,0.0817671723808375
m4_yearly,smape,StatisticalEnsemble,0.06748203578862982
m4_yearly,time,SeasonalNaive,1.3356640338897705
m4_yearly,time,StatisticalEnsemble,117.77939891815186
m4_quarterly,mase,SeasonalNaive,1.6022471757947163
m4_quarterly,mase,StatisticalEnsemble,1.1424438068562632
m4_quarterly,scaled_crps,SeasonalNaive,0.11284029920261848
m4_quarterly,scaled_crps,StatisticalEnsemble,0.061619570590469346
m4_quarterly,smape,SeasonalNaive,0.06260683416118425
m4_quarterly,smape,StatisticalEnsemble,0.049689605512879355
m4_quarterly,time,SeasonalNaive,1.6325972080230713
m4_quarterly,time,StatisticalEnsemble,331.26417803764343
